step,alive,avg_knowledge
0,100,0.0
1,100,0.0
2,100,0.0
3,100,0.0
4,100,0.0
5,100,0.0
6,100,0.0
7,100,0.0
8,100,0.0
9,100,0.0
10,100,0.0
11,100,0.0
12,100,0.0
13,100,0.0
14,100,0.0
15,100,0.0
16,100,0.0
17,100,0.0
18,100,0.0
19,100,0.0
20,100,0.0
21,100,0.0009751460836951915
22,100,0.0019423885008175326
23,100,0.002328495101009184
24,100,0.0025195724844617974
25,100,0.0038769534101739584
26,100,0.005795791061496429
27,100,0.0059750930202015105
28,100,0.006727865732055631
29,100,0.0070984836770045245
30,100,0.007250680083398769
31,100,0.008015463610580795
32,100,0.008550439323053927
33,100,0.010057000153719823
34,100,0.011379916324610216
35,100,0.01173527938235269
36,100,0.012262960165406886
37,100,0.013598248034636525
38,100,0.014496940968881163
39,100,0.015620956164857829
40,100,0.016152450890293598
41,100,0.01684975055426442
42,100,0.01738139913435978
43,100,0.017906868013524934
44,100,0.018993340971217108
45,100,0.019886123182134684
46,100,0.020947370908459963
47,100,0.021874327468881943
48,100,0.02238828956042495
49,100,0.02268460193249777
50,100,0.02396685558884919
51,100,0.02448338259431147
52,100,0.025188419388909068
53,100,0.026048301069536282
54,100,0.026920379716302234
55,100,0.027925193207932856
56,100,0.028967808890069554
57,100,0.029696226409000107
58,100,0.029922709539447624
59,100,0.031121812290456744
60,100,0.03251055939757394
61,100,0.03318194810575851
62,100,0.03344892104901399
63,100,0.033315877624338956
64,100,0.03416223358431318
65,100,0.034942968592015185
66,100,0.035727899664223135
67,100,0.03655916528039274
68,100,0.03758505648438027
69,100,0.0379292352641748
70,100,0.038782614680717566
71,100,0.03952042199949119
72,100,0.04013708023603074
73,100,0.04038021571589627
74,100,0.04102425766162767
75,100,0.04200689084653673
76,100,0.04292049397269852
77,100,0.043745593269560006
78,100,0.044497878762201966
79,100,0.04561511068859185
80,100,0.04655075250226777
81,100,0.04771658714512994
82,100,0.04824505065893417
83,100,0.04976134466851433
84,100,0.05070730140123189
85,100,0.051261234426793305
86,100,0.05162433029394929
87,100,0.05180442147133495
88,100,0.052521834871677775
89,100,0.05335002379135605
90,100,0.053756132591070295
91,100,0.05426052417773084
92,100,0.05463633751827863
93,100,0.05570983392672341
94,100,0.05649213836343518
95,100,0.057478924338572185
96,100,0.05871503864499795
97,100,0.059735013661601256
98,100,0.06166568403099726
99,100,0.06308771968182983
100,100,0.06414145959266833
101,100,0.06480657405519225
102,100,0.06530667652820146
103,100,0.06535570883435153
104,100,0.06677777337835913
105,100,0.06815268559875247
106,100,0.06927441848259755
107,100,0.06996206784741138
108,100,0.07147084476875493
109,100,0.07212716869094567
110,100,0.07302457764907945
111,100,0.07357255325665567
112,100,0.0737442389903673
113,100,0.07461873100439606
114,100,0.07553236102167991
115,100,0.07647465626574103
116,100,0.0778161977298317
117,100,0.07882413915220819
118,100,0.07969261688593561
119,100,0.0806825594506134
120,100,0.08150451507953445
121,100,0.08244030136369572
122,100,0.08301320564619749
123,100,0.08394854685419498
124,100,0.08443422969615534
125,100,0.0857098764688404
126,100,0.08635973884011305
127,100,0.0878803151595452
128,100,0.08885717879481664
129,100,0.09029378238298297
130,100,0.09160403378427345
131,100,0.09248880655899532
132,100,0.0931173103670781
133,100,0.09456043999107529
134,100,0.09594672518846997
135,100,0.09632516708765962
136,100,0.09732515852115803
137,100,0.0979966303634885
138,100,0.0994515980508465
139,100,0.10082347655016272
140,100,0.10164744451565193
141,100,0.10275945160131021
142,100,0.10306607071634341
143,100,0.10466126713730628
144,100,0.10600088461873292
145,100,0.1076952836864944
146,100,0.10871088491932784
147,100,0.10934492322530899
148,100,0.11046192467734738
149,100,0.1111612851188985
150,100,0.1118336605058406
151,100,0.11309900291908302
152,100,0.11400758145177933
153,100,0.11460025192141604
154,100,0.11639969990260386
155,100,0.11774607737644002
156,100,0.11849608212691244
157,100,0.11907436207323967
158,100,0.11983650078989765
159,100,0.1208057801026
160,100,0.12144216212317696
161,100,0.12256572321732488
162,100,0.12452558560439696
163,100,0.12483454543816194
164,100,0.1251497407026505
165,100,0.12534223285757565
166,100,0.12587149910751677
167,100,0.12605174296450897
168,100,0.12740427594611828
169,100,0.12847298736914342
170,100,0.12927843949095322
171,100,0.1299852509177476
172,100,0.1299273490796739
173,100,0.13057514035186948
174,100,0.1316368488857644
175,100,0.13221398785229455
176,100,0.13243183728705554
177,100,0.13391727492257968
178,100,0.1350090685357109
179,100,0.1361989428456067
180,100,0.13715895297541925
181,100,0.13804377043369395
182,100,0.1387007004795623
183,100,0.13904238326219331
184,100,0.13994166144216835
185,100,0.14084714911520946
186,100,0.14122879559175272
187,100,0.142020597376284
188,100,0.14225715048348714
189,100,0.1426900238952901
190,100,0.14423006192826854
191,100,0.14581825148243885
192,100,0.1467172810534266
193,100,0.14728828475228636
194,100,0.14886287725756245
195,100,0.14996101943940643
196,100,0.15107220252888393
197,100,0.15202516070904135
198,100,0.15336605680303758
199,100,0.15414077010691912
200,100,0.15503434924212858
201,100,0.1555854051523578
202,100,0.1565221608977653
203,100,0.15700758411481597
204,100,0.15809821259764062
205,100,0.15944046059326092
206,100,0.16007669542377845
207,100,0.1607975048477985
208,100,0.16155757924745426
209,100,0.16314636614094602
210,100,0.16429555085698028
211,100,0.16494987851610152
212,100,0.1657830721731691
213,100,0.1661314502316857
214,100,0.16719261653832077
215,100,0.16792331699811985
216,100,0.16937950250071002
217,100,0.17009388735795608
218,100,0.16999223063806068
219,100,0.17131922369199967
220,100,0.17239398786126914
221,100,0.17366277260513144
222,100,0.1746875742074927
223,100,0.17522601702174018
224,100,0.17538042477992596
225,100,0.17622835531196504
226,100,0.17685206142663668
227,100,0.17789366070741458
228,100,0.17854730887931833
229,100,0.17915543326403163
230,100,0.18022051089212823
231,100,0.18032536256993886
232,100,0.18099215835870802
233,100,0.18107383652751424
234,100,0.18208278263259892
235,100,0.18298886135723028
236,100,0.1846044797019128
237,100,0.18526323286916388
238,100,0.186764792027047
239,100,0.18903860819387458
240,100,0.19145638596354472
241,100,0.192533049984471
242,100,0.19276478649093975
243,100,0.19529242699866547
244,100,0.19730259580772977
245,100,0.19848215324318916
246,100,0.19953607784946287
247,100,0.20031057497391097
248,100,0.2012968319267452
249,100,0.20093570624659324
250,100,0.2018135624594578
251,100,0.2034982056877697
252,100,0.20515953963147812
253,100,0.20625956254824462
254,100,0.2067829545179748
255,100,0.2076221394002653
256,100,0.20813686183600477
257,100,0.20729289787234126
258,100,0.20779181512467268
259,100,0.20816651825770202
260,100,0.20831877161346013
261,100,0.20921936728812823
262,100,0.21092551165656404
